id,experience,modality,noise reduction,segmentation,normalization,filteringyn,segmentation_type,normalizationyn
36,Hexoskin E30 DT,ECG,"Downsampled to 200 Hz. third order band‐pass filter (0.5-45 Hz), mean filter for signal smoothing.",4‐s time windows and a 1‐s delay between windows,not described,yes,window,no
43,NA,ECG,FIR bandpass filter to remove baseline wander and environmental noises. (ii) time-sharing re-configurable “QRS” peak detection engine (PDE),single beats,serial FFT-based normalization / SFNE,yes,beat,yes
55,Empatica kNN 9/1,PPG,"points exceeding more than 20% of local average of 3 beats are excluded, then interpolation for missing data",non-overlapping 120s windows,not described,yes,window,no
55,Empatica RF 9/1,PPG,"points exceeding more than 20% of local average of 3 beats are excluded, then interpolation for missing data",non-overlapping 120s windows,not described,yes,window,no
55,Empatica MLP 9/1,PPG,"points exceeding more than 20% of local average of 3 beats are excluded, then interpolation for missing data",non-overlapping 120s windows,not described,yes,window,no
55,Empatica LR 9/1,PPG,"points exceeding more than 20% of local average of 3 beats are excluded, then interpolation for missing data",non-overlapping 120s windows,not described,yes,window,no
55,Empatica NB 9/1,PPG,"points exceeding more than 20% of local average of 3 beats are excluded, then interpolation for missing data",non-overlapping 120s windows,not described,yes,window,no
55,S kNN 9/1,PPG,"points exceeding more than 20% of local average of 3 beats are excluded, then interpolation for missing data",non-overlapping 120s windows,not described,yes,window,no
55,S RF 9/1,PPG,"points exceeding more than 20% of local average of 3 beats are excluded, then interpolation for missing data",non-overlapping 120s windows,not described,yes,window,no
55,S MLP 9/1,PPG,"points exceeding more than 20% of local average of 3 beats are excluded, then interpolation for missing data",non-overlapping 120s windows,not described,yes,window,no
55,S LR 9/1,PPG,"points exceeding more than 20% of local average of 3 beats are excluded, then interpolation for missing data",non-overlapping 120s windows,not described,yes,window,no
55,S NB 9/1,PPG,"points exceeding more than 20% of local average of 3 beats are excluded, then interpolation for missing data",non-overlapping 120s windows,not described,yes,window,no
55,S2 kNN 9/1,PPG,"points exceeding more than 20% of local average of 3 beats are excluded, then interpolation for missing data",non-overlapping 120s windows,not described,yes,window,no
55,S2 RF 9/1,PPG,"points exceeding more than 20% of local average of 3 beats are excluded, then interpolation for missing data",non-overlapping 120s windows,not described,yes,window,no
55,S2 MLP 9/1,PPG,"points exceeding more than 20% of local average of 3 beats are excluded, then interpolation for missing data",non-overlapping 120s windows,not described,yes,window,no
55,S2 LR 9/1,PPG,"points exceeding more than 20% of local average of 3 beats are excluded, then interpolation for missing data",non-overlapping 120s windows,not described,yes,window,no
55,S2 NB 9/1,PPG,"points exceeding more than 20% of local average of 3 beats are excluded, then interpolation for missing data",non-overlapping 120s windows,not described,yes,window,no
55,Empatica kNN 7/3,PPG,"points exceeding more than 20% of local average of 3 beats are excluded, then interpolation for missing data",non-overlapping 120s windows,not described,yes,window,no
55,Empatica RF 7/3,PPG,"points exceeding more than 20% of local average of 3 beats are excluded, then interpolation for missing data",non-overlapping 120s windows,not described,yes,window,no
55,Empatica MLP 7/3,PPG,"points exceeding more than 20% of local average of 3 beats are excluded, then interpolation for missing data",non-overlapping 120s windows,not described,yes,window,no
55,Empatica LR 7/3,PPG,"points exceeding more than 20% of local average of 3 beats are excluded, then interpolation for missing data",non-overlapping 120s windows,not described,yes,window,no
55,Empatica NB 7/3,PPG,"points exceeding more than 20% of local average of 3 beats are excluded, then interpolation for missing data",non-overlapping 120s windows,not described,yes,window,no
55,S kNN 7/3,PPG,"points exceeding more than 20% of local average of 3 beats are excluded, then interpolation for missing data",non-overlapping 120s windows,not described,yes,window,no
55,S RF 7/3,PPG,"points exceeding more than 20% of local average of 3 beats are excluded, then interpolation for missing data",non-overlapping 120s windows,not described,yes,window,no
55,S MLP 7/3,PPG,"points exceeding more than 20% of local average of 3 beats are excluded, then interpolation for missing data",non-overlapping 120s windows,not described,yes,window,no
55,S LR 7/3,PPG,"points exceeding more than 20% of local average of 3 beats are excluded, then interpolation for missing data",non-overlapping 120s windows,not described,yes,window,no
55,S NB 7/3,PPG,"points exceeding more than 20% of local average of 3 beats are excluded, then interpolation for missing data",non-overlapping 120s windows,not described,yes,window,no
55,S2 kNN 7/3,PPG,"points exceeding more than 20% of local average of 3 beats are excluded, then interpolation for missing data",non-overlapping 120s windows,not described,yes,window,no
55,S2 RF 7/3,PPG,"points exceeding more than 20% of local average of 3 beats are excluded, then interpolation for missing data",non-overlapping 120s windows,not described,yes,window,no
55,S2 MLP 7/3,PPG,"points exceeding more than 20% of local average of 3 beats are excluded, then interpolation for missing data",non-overlapping 120s windows,not described,yes,window,no
55,S2 LR 7/3,PPG,"points exceeding more than 20% of local average of 3 beats are excluded, then interpolation for missing data",non-overlapping 120s windows,not described,yes,window,no
55,S2 NB 7/3,PPG,"points exceeding more than 20% of local average of 3 beats are excluded, then interpolation for missing data",non-overlapping 120s windows,not described,yes,window,no
75,SVM AC/DCT,VHF,fourth-order Butterworth filter (1–40 Hz),non-overlapping 5s windows,not described,yes,window,no
75,RF AC/DCT,VHF,fourth-order Butterworth filter (1–40 Hz),non-overlapping 5s windows,not described,yes,window,no
75,XGB AC/DCT,VHF,fourth-order Butterworth filter (1–40 Hz),non-overlapping 5s windows,not described,yes,window,no
75,MLP AC/DCT,VHF,fourth-order Butterworth filter (1–40 Hz),non-overlapping 5s windows,not described,yes,window,no
75,SVM MFCC,VHF,fourth-order Butterworth filter (1–40 Hz),non-overlapping 5s windows,not described,yes,window,no
75,RF MFCC,VHF,fourth-order Butterworth filter (1–40 Hz),non-overlapping 5s windows,not described,yes,window,no
75,XGB MFCC,VHF,fourth-order Butterworth filter (1–40 Hz),non-overlapping 5s windows,not described,yes,window,no
75,MLP MFCC,VHF,fourth-order Butterworth filter (1–40 Hz),non-overlapping 5s windows,not described,yes,window,no
75,SVM AC/DCT+MFCC,VHF,fourth-order Butterworth filter (1–40 Hz),non-overlapping 5s windows,not described,yes,window,no
75,RF AC/DCT+MFCC,VHF,fourth-order Butterworth filter (1–40 Hz),non-overlapping 5s windows,not described,yes,window,no
75,XGB AC/DCT+MFCC,VHF,fourth-order Butterworth filter (1–40 Hz),non-overlapping 5s windows,not described,yes,window,no
75,MLP AC/DCT+MFCC,VHF,fourth-order Butterworth filter (1–40 Hz),non-overlapping 5s windows,not described,yes,window,no
75,SVM rr,VHF,fourth-order Butterworth filter (1–40 Hz),non-overlapping 5s windows,not described,yes,window,no
75,SVM ww,VHF,fourth-order Butterworth filter (1–40 Hz),non-overlapping 5s windows,not described,yes,window,no
75,SVM rw,VHF,fourth-order Butterworth filter (1–40 Hz),non-overlapping 5s windows,not described,yes,window,no
75,RF rr,VHF,fourth-order Butterworth filter (1–40 Hz),non-overlapping 5s windows,not described,yes,window,no
75,RF ww,VHF,fourth-order Butterworth filter (1–40 Hz),non-overlapping 5s windows,not described,yes,window,no
75,RF rw,VHF,fourth-order Butterworth filter (1–40 Hz),non-overlapping 5s windows,not described,yes,window,no
75,XGB rr,VHF,fourth-order Butterworth filter (1–40 Hz),non-overlapping 5s windows,not described,yes,window,no
75,XGB ww,VHF,fourth-order Butterworth filter (1–40 Hz),non-overlapping 5s windows,not described,yes,window,no
75,XGB rw,VHF,fourth-order Butterworth filter (1–40 Hz),non-overlapping 5s windows,not described,yes,window,no
75,MLP rr,VHF,fourth-order Butterworth filter (1–40 Hz),non-overlapping 5s windows,not described,yes,window,no
75,MLP ww,VHF,fourth-order Butterworth filter (1–40 Hz),non-overlapping 5s windows,not described,yes,window,no
75,MLP rw,VHF,fourth-order Butterworth filter (1–40 Hz),non-overlapping 5s windows,not described,yes,window,no
75,1D CNN rr,VHF,fourth-order Butterworth filter (1–40 Hz),non-overlapping 5s windows,not described,yes,window,no
75,1D CNN ww,VHF,fourth-order Butterworth filter (1–40 Hz),non-overlapping 5s windows,not described,yes,window,no
75,1D CNN rw,VHF,fourth-order Butterworth filter (1–40 Hz),non-overlapping 5s windows,not described,yes,window,no
147,Right Hand Vertical Sit,SCG,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise, common average referencing (CAR), data smoothing  via interpolation with spline cubic curves at 750Hz",1-second windows centered on each detected heartbeat peak,"normalised, no further details",yes,window,yes
147,Right Hand Horizontal Sit,SCG,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise, common average referencing (CAR), data smoothing  via interpolation with spline cubic curves at 750Hz",1-second windows centered on each detected heartbeat peak,"normalised, no further details",yes,window,yes
147,Right Hand Dorsal-Ventral Sit,SCG,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise, common average referencing (CAR), data smoothing  via interpolation with spline cubic curves at 750Hz",1-second windows centered on each detected heartbeat peak,"normalised, no further details",yes,window,yes
147,Left Hand Vertical Sit,SCG,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise, common average referencing (CAR), data smoothing  via interpolation with spline cubic curves at 750Hz",1-second windows centered on each detected heartbeat peak,"normalised, no further details",yes,window,yes
147,Left Hand Horizontal Sit,SCG,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise, common average referencing (CAR), data smoothing  via interpolation with spline cubic curves at 750Hz",1-second windows centered on each detected heartbeat peak,"normalised, no further details",yes,window,yes
147,Left Hand Dorsal-Ventral Sit,SCG,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise, common average referencing (CAR), data smoothing  via interpolation with spline cubic curves at 750Hz",1-second windows centered on each detected heartbeat peak,"normalised, no further details",yes,window,yes
147,Left Carotid Vertical Sit,SCG,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise, common average referencing (CAR), data smoothing  via interpolation with spline cubic curves at 750Hz",1-second windows centered on each detected heartbeat peak,"normalised, no further details",yes,window,yes
147,Left Carotid Horizontal Sit,SCG,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise, common average referencing (CAR), data smoothing  via interpolation with spline cubic curves at 750Hz",1-second windows centered on each detected heartbeat peak,"normalised, no further details",yes,window,yes
147,Left Carotid Dorsal-Ventral Sit,SCG,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise, common average referencing (CAR), data smoothing  via interpolation with spline cubic curves at 750Hz",1-second windows centered on each detected heartbeat peak,"normalised, no further details",yes,window,yes
147,Heart Vertical Sit,SCG,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise, common average referencing (CAR), data smoothing  via interpolation with spline cubic curves at 750Hz",1-second windows centered on each detected heartbeat peak,"normalised, no further details",yes,window,yes
147,Heart Horizontal Sit,SCG,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise, common average referencing (CAR), data smoothing  via interpolation with spline cubic curves at 750Hz",1-second windows centered on each detected heartbeat peak,"normalised, no further details",yes,window,yes
147,Heart Dorsal-Ventral Sit,SCG,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise, common average referencing (CAR), data smoothing  via interpolation with spline cubic curves at 750Hz",1-second windows centered on each detected heartbeat peak,"normalised, no further details",yes,window,yes
147,Sternum Vertical Sit,SCG,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise, common average referencing (CAR), data smoothing  via interpolation with spline cubic curves at 750Hz",1-second windows centered on each detected heartbeat peak,"normalised, no further details",yes,window,yes
147,Sternum Horizontal Sit,SCG,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise, common average referencing (CAR), data smoothing  via interpolation with spline cubic curves at 750Hz",1-second windows centered on each detected heartbeat peak,"normalised, no further details",yes,window,yes
147,Sternum Dorsal-Ventral Sit,SCG,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise, common average referencing (CAR), data smoothing  via interpolation with spline cubic curves at 750Hz",1-second windows centered on each detected heartbeat peak,"normalised, no further details",yes,window,yes
147,Right Hand Vertical Resilient Sit,SCG,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise; removal of motion artifacts by averaging 5 consecutive data samples, common average referencing (CAR), data smoothing  via interpolation with spline cubic curves at 750Hz",1-second windows centered on each detected heartbeat peak,"normalised, no further details",yes,window,yes
147,Right Hand Horizontal Resilient Sit,SCG,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise; removal of motion artifacts by averaging 5 consecutive data samples, common average referencing (CAR), data smoothing  via interpolation with spline cubic curves at 750Hz",1-second windows centered on each detected heartbeat peak,"normalised, no further details",yes,window,yes
147,Right Hand Dorsal-Ventral Resilient Sit,SCG,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise; removal of motion artifacts by averaging 5 consecutive data samples, common average referencing (CAR), data smoothing  via interpolation with spline cubic curves at 750Hz",1-second windows centered on each detected heartbeat peak,"normalised, no further details",yes,window,yes
147,Left Hand Vertical Resilient Sit,SCG,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise; removal of motion artifacts by averaging 5 consecutive data samples, common average referencing (CAR), data smoothing  via interpolation with spline cubic curves at 750Hz",1-second windows centered on each detected heartbeat peak,"normalised, no further details",yes,window,yes
147,Left Hand Horizontal Resilient Sit,SCG,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise; removal of motion artifacts by averaging 5 consecutive data samples, common average referencing (CAR), data smoothing  via interpolation with spline cubic curves at 750Hz",1-second windows centered on each detected heartbeat peak,"normalised, no further details",yes,window,yes
147,Left Hand Dorsal-Ventral Resilient Sit,SCG,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise; removal of motion artifacts by averaging 5 consecutive data samples, common average referencing (CAR), data smoothing  via interpolation with spline cubic curves at 750Hz",1-second windows centered on each detected heartbeat peak,"normalised, no further details",yes,window,yes
147,Left Carotid Vertical Resilient Sit,SCG,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise; removal of motion artifacts by averaging 5 consecutive data samples, common average referencing (CAR), data smoothing  via interpolation with spline cubic curves at 750Hz",1-second windows centered on each detected heartbeat peak,"normalised, no further details",yes,window,yes
147,Left Carotid Horizontal Resilient Sit,SCG,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise; removal of motion artifacts by averaging 5 consecutive data samples, common average referencing (CAR), data smoothing  via interpolation with spline cubic curves at 750Hz",1-second windows centered on each detected heartbeat peak,"normalised, no further details",yes,window,yes
147,Left Carotid Dorsal-Ventral Resilient Sit,SCG,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise; removal of motion artifacts by averaging 5 consecutive data samples, common average referencing (CAR), data smoothing  via interpolation with spline cubic curves at 750Hz",1-second windows centered on each detected heartbeat peak,"normalised, no further details",yes,window,yes
147,Heart Vertical Resilient Sit,SCG,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise; removal of motion artifacts by averaging 5 consecutive data samples, common average referencing (CAR), data smoothing  via interpolation with spline cubic curves at 750Hz",1-second windows centered on each detected heartbeat peak,"normalised, no further details",yes,window,yes
147,Heart Horizontal Resilient Sit,SCG,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise; removal of motion artifacts by averaging 5 consecutive data samples, common average referencing (CAR), data smoothing  via interpolation with spline cubic curves at 750Hz",1-second windows centered on each detected heartbeat peak,"normalised, no further details",yes,window,yes
147,Heart Dorsal-Ventral Resilient Sit,SCG,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise; removal of motion artifacts by averaging 5 consecutive data samples, common average referencing (CAR), data smoothing  via interpolation with spline cubic curves at 750Hz",1-second windows centered on each detected heartbeat peak,"normalised, no further details",yes,window,yes
147,Sternum Vertical Resilient Sit,SCG,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise; removal of motion artifacts by averaging 5 consecutive data samples, common average referencing (CAR), data smoothing  via interpolation with spline cubic curves at 750Hz",1-second windows centered on each detected heartbeat peak,"normalised, no further details",yes,window,yes
147,Sternum Horizontal Resilient Sit,SCG,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise; removal of motion artifacts by averaging 5 consecutive data samples, common average referencing (CAR), data smoothing  via interpolation with spline cubic curves at 750Hz",1-second windows centered on each detected heartbeat peak,"normalised, no further details",yes,window,yes
147,Sternum Dorsal-Ventral Resilient Sit,SCG,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise; removal of motion artifacts by averaging 5 consecutive data samples, common average referencing (CAR), data smoothing  via interpolation with spline cubic curves at 750Hz",1-second windows centered on each detected heartbeat peak,"normalised, no further details",yes,window,yes
147,Right Hand Vertical Stand,SCG,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise, common average referencing (CAR), data smoothing  via interpolation with spline cubic curves at 750Hz",1-second windows centered on each detected heartbeat peak,"normalised, no further details",yes,window,yes
147,Right Hand Horizontal Stand,SCG,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise, common average referencing (CAR), data smoothing  via interpolation with spline cubic curves at 750Hz",1-second windows centered on each detected heartbeat peak,"normalised, no further details",yes,window,yes
147,Right Hand Dorsal-Ventral Stand,SCG,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise, common average referencing (CAR), data smoothing  via interpolation with spline cubic curves at 750Hz",1-second windows centered on each detected heartbeat peak,"normalised, no further details",yes,window,yes
147,Left Hand Vertical Stand,SCG,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise, common average referencing (CAR), data smoothing  via interpolation with spline cubic curves at 750Hz",1-second windows centered on each detected heartbeat peak,"normalised, no further details",yes,window,yes
147,Left Hand Horizontal Stand,SCG,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise, common average referencing (CAR), data smoothing  via interpolation with spline cubic curves at 750Hz",1-second windows centered on each detected heartbeat peak,"normalised, no further details",yes,window,yes
147,Left Hand Dorsal-Ventral Stand,SCG,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise, common average referencing (CAR), data smoothing  via interpolation with spline cubic curves at 750Hz",1-second windows centered on each detected heartbeat peak,"normalised, no further details",yes,window,yes
147,Left Carotid Vertical Stand,SCG,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise, common average referencing (CAR), data smoothing  via interpolation with spline cubic curves at 750Hz",1-second windows centered on each detected heartbeat peak,"normalised, no further details",yes,window,yes
147,Left Carotid Horizontal Stand,SCG,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise, common average referencing (CAR), data smoothing  via interpolation with spline cubic curves at 750Hz",1-second windows centered on each detected heartbeat peak,"normalised, no further details",yes,window,yes
147,Left Carotid Dorsal-Ventral Stand,SCG,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise, common average referencing (CAR), data smoothing  via interpolation with spline cubic curves at 750Hz",1-second windows centered on each detected heartbeat peak,"normalised, no further details",yes,window,yes
147,Heart Vertical Stand,SCG,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise, common average referencing (CAR), data smoothing  via interpolation with spline cubic curves at 750Hz",1-second windows centered on each detected heartbeat peak,"normalised, no further details",yes,window,yes
147,Heart Horizontal Stand,SCG,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise, common average referencing (CAR), data smoothing  via interpolation with spline cubic curves at 750Hz",1-second windows centered on each detected heartbeat peak,"normalised, no further details",yes,window,yes
147,Heart Dorsal-Ventral Stand,SCG,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise, common average referencing (CAR), data smoothing  via interpolation with spline cubic curves at 750Hz",1-second windows centered on each detected heartbeat peak,"normalised, no further details",yes,window,yes
147,Sternum Vertical Stand,SCG,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise, common average referencing (CAR), data smoothing  via interpolation with spline cubic curves at 750Hz",1-second windows centered on each detected heartbeat peak,"normalised, no further details",yes,window,yes
147,Sternum Horizontal Stand,SCG,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise, common average referencing (CAR), data smoothing  via interpolation with spline cubic curves at 750Hz",1-second windows centered on each detected heartbeat peak,"normalised, no further details",yes,window,yes
147,Sternum Dorsal-Ventral Stand,SCG,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise, common average referencing (CAR), data smoothing  via interpolation with spline cubic curves at 750Hz",1-second windows centered on each detected heartbeat peak,"normalised, no further details",yes,window,yes
147,Right Hand Vertical Resilient Stand,SCG,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise; removal of motion artifacts by averaging 5 consecutive data samples, common average referencing (CAR), data smoothing  via interpolation with spline cubic curves at 750Hz",1-second windows centered on each detected heartbeat peak,"normalised, no further details",yes,window,yes
147,Right Hand Horizontal Resilient Stand,SCG,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise; removal of motion artifacts by averaging 5 consecutive data samples, common average referencing (CAR), data smoothing  via interpolation with spline cubic curves at 750Hz",1-second windows centered on each detected heartbeat peak,"normalised, no further details",yes,window,yes
147,Right Hand Dorsal-Ventral Resilient Stand,SCG,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise; removal of motion artifacts by averaging 5 consecutive data samples, common average referencing (CAR), data smoothing  via interpolation with spline cubic curves at 750Hz",1-second windows centered on each detected heartbeat peak,"normalised, no further details",yes,window,yes
147,Left Hand Vertical Resilient Stand,SCG,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise; removal of motion artifacts by averaging 5 consecutive data samples, common average referencing (CAR), data smoothing  via interpolation with spline cubic curves at 750Hz",1-second windows centered on each detected heartbeat peak,"normalised, no further details",yes,window,yes
147,Left Hand Horizontal Resilient Stand,SCG,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise; removal of motion artifacts by averaging 5 consecutive data samples, common average referencing (CAR), data smoothing  via interpolation with spline cubic curves at 750Hz",1-second windows centered on each detected heartbeat peak,"normalised, no further details",yes,window,yes
147,Left Hand Dorsal-Ventral Resilient Stand,SCG,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise; removal of motion artifacts by averaging 5 consecutive data samples, common average referencing (CAR), data smoothing  via interpolation with spline cubic curves at 750Hz",1-second windows centered on each detected heartbeat peak,"normalised, no further details",yes,window,yes
147,Left Carotid Vertical Resilient Stand,SCG,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise; removal of motion artifacts by averaging 5 consecutive data samples, common average referencing (CAR), data smoothing  via interpolation with spline cubic curves at 750Hz",1-second windows centered on each detected heartbeat peak,"normalised, no further details",yes,window,yes
147,Left Carotid Horizontal Resilient Stand,SCG,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise; removal of motion artifacts by averaging 5 consecutive data samples, common average referencing (CAR), data smoothing  via interpolation with spline cubic curves at 750Hz",1-second windows centered on each detected heartbeat peak,"normalised, no further details",yes,window,yes
147,Left Carotid Dorsal-Ventral Resilient Stand,SCG,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise; removal of motion artifacts by averaging 5 consecutive data samples, common average referencing (CAR), data smoothing  via interpolation with spline cubic curves at 750Hz",1-second windows centered on each detected heartbeat peak,"normalised, no further details",yes,window,yes
147,Heart Vertical Resilient Stand,SCG,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise; removal of motion artifacts by averaging 5 consecutive data samples, common average referencing (CAR), data smoothing  via interpolation with spline cubic curves at 750Hz",1-second windows centered on each detected heartbeat peak,"normalised, no further details",yes,window,yes
147,Heart Horizontal Resilient Stand,SCG,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise; removal of motion artifacts by averaging 5 consecutive data samples, common average referencing (CAR), data smoothing  via interpolation with spline cubic curves at 750Hz",1-second windows centered on each detected heartbeat peak,"normalised, no further details",yes,window,yes
147,Heart Dorsal-Ventral Resilient Stand,SCG,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise; removal of motion artifacts by averaging 5 consecutive data samples, common average referencing (CAR), data smoothing  via interpolation with spline cubic curves at 750Hz",1-second windows centered on each detected heartbeat peak,"normalised, no further details",yes,window,yes
147,Sternum Vertical Resilient Stand,SCG,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise; removal of motion artifacts by averaging 5 consecutive data samples, common average referencing (CAR), data smoothing  via interpolation with spline cubic curves at 750Hz",1-second windows centered on each detected heartbeat peak,"normalised, no further details",yes,window,yes
