Study ID,Experiment,Modality,Normalization,Segmentation,Noise removal
147,Left Carotid Dorsal-Ventral Resilient Post-Exercise,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise; removal of motion artifacts by averaging 5 consecutive data samples, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
147,Left Carotid Dorsal-Ventral Resilient Sit,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise; removal of motion artifacts by averaging 5 consecutive data samples, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
147,Left Carotid Dorsal-Ventral Resilient Stand,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise; removal of motion artifacts by averaging 5 consecutive data samples, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
147,Left Carotid Dorsal-Ventral Resilient Walk,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise; removal of motion artifacts by averaging 5 consecutive data samples, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
147,Left Carotid Dorsal-Ventral Sit,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
147,Left Carotid Dorsal-Ventral Stand,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
147,Left Carotid Dorsal-Ventral Walk,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
147,Left Carotid Horizontal Post-Exercise,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
147,Left Carotid Horizontal Resilient Post-Exercise,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise; removal of motion artifacts by averaging 5 consecutive data samples, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
147,Left Carotid Horizontal Resilient Sit,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise; removal of motion artifacts by averaging 5 consecutive data samples, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
147,Left Carotid Horizontal Resilient Stand,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise; removal of motion artifacts by averaging 5 consecutive data samples, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
147,Left Carotid Horizontal Resilient Walk,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise; removal of motion artifacts by averaging 5 consecutive data samples, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
147,Left Carotid Horizontal Sit,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
147,Left Carotid Horizontal Stand,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
147,Left Carotid Horizontal Walk,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
147,Left Carotid Vertical Post-Exercise,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
147,Left Carotid Vertical Resilient Post-Exercise,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise; removal of motion artifacts by averaging 5 consecutive data samples, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
147,Left Carotid Vertical Resilient Sit,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise; removal of motion artifacts by averaging 5 consecutive data samples, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
147,Left Carotid Vertical Resilient Stand,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise; removal of motion artifacts by averaging 5 consecutive data samples, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
147,Left Carotid Vertical Resilient Walk,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise; removal of motion artifacts by averaging 5 consecutive data samples, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
147,Left Carotid Vertical Sit,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
147,Left Carotid Vertical Stand,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
147,Left Carotid Vertical Walk,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
147,Left Hand Dorsal-Ventral Post-Exercise,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
147,Left Hand Dorsal-Ventral Resilient Post-Exercise,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise; removal of motion artifacts by averaging 5 consecutive data samples, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
147,Left Hand Dorsal-Ventral Resilient Sit,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise; removal of motion artifacts by averaging 5 consecutive data samples, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
147,Left Hand Dorsal-Ventral Resilient Stand,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise; removal of motion artifacts by averaging 5 consecutive data samples, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
147,Left Hand Dorsal-Ventral Resilient Walk,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise; removal of motion artifacts by averaging 5 consecutive data samples, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
147,Left Hand Dorsal-Ventral Sit,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
147,Left Hand Dorsal-Ventral Stand,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
147,Left Hand Dorsal-Ventral Walk,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
147,Left Hand Horizontal Post-Exercise,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
147,Left Hand Horizontal Resilient Post-Exercise,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise; removal of motion artifacts by averaging 5 consecutive data samples, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
147,Left Hand Horizontal Resilient Sit,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise; removal of motion artifacts by averaging 5 consecutive data samples, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
147,Left Hand Horizontal Resilient Stand,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise; removal of motion artifacts by averaging 5 consecutive data samples, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
147,Left Hand Horizontal Resilient Walk,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise; removal of motion artifacts by averaging 5 consecutive data samples, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
147,Left Hand Horizontal Sit,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
147,Left Hand Horizontal Stand,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
147,Left Hand Horizontal Walk,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
147,Left Hand Vertical Post-Exercise,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
147,Left Hand Vertical Resilient Post-Exercise,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise; removal of motion artifacts by averaging 5 consecutive data samples, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
147,Left Hand Vertical Resilient Sit,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise; removal of motion artifacts by averaging 5 consecutive data samples, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
147,Left Hand Vertical Resilient Stand,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise; removal of motion artifacts by averaging 5 consecutive data samples, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
147,Left Hand Vertical Resilient Walk,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise; removal of motion artifacts by averaging 5 consecutive data samples, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
147,Left Hand Vertical Sit,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
147,Left Hand Vertical Stand,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
147,Left Hand Vertical Walk,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
147,Right Hand Dorsal-Ventral Post-Exercise,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
147,Right Hand Dorsal-Ventral Resilient Post-Exercise,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise; removal of motion artifacts by averaging 5 consecutive data samples, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
147,Right Hand Dorsal-Ventral Resilient Sit,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise; removal of motion artifacts by averaging 5 consecutive data samples, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
147,Right Hand Dorsal-Ventral Resilient Stand,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise; removal of motion artifacts by averaging 5 consecutive data samples, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
147,Right Hand Dorsal-Ventral Resilient Walk,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise; removal of motion artifacts by averaging 5 consecutive data samples, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
147,Right Hand Dorsal-Ventral Sit,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
147,Right Hand Dorsal-Ventral Stand,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
147,Right Hand Dorsal-Ventral Walk,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
147,Right Hand Horizontal Post-Exercise,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
147,Right Hand Horizontal Resilient Post-Exercise,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise; removal of motion artifacts by averaging 5 consecutive data samples, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
147,Right Hand Horizontal Resilient Sit,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise; removal of motion artifacts by averaging 5 consecutive data samples, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
147,Right Hand Horizontal Resilient Stand,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise; removal of motion artifacts by averaging 5 consecutive data samples, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
147,Right Hand Horizontal Resilient Walk,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise; removal of motion artifacts by averaging 5 consecutive data samples, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
147,Right Hand Horizontal Sit,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
147,Right Hand Horizontal Stand,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
147,Right Hand Horizontal Walk,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
147,Right Hand Vertical Post-Exercise,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
147,Right Hand Vertical Resilient Post-Exercise,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise; removal of motion artifacts by averaging 5 consecutive data samples, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
147,Right Hand Vertical Resilient Sit,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise; removal of motion artifacts by averaging 5 consecutive data samples, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
147,Right Hand Vertical Resilient Stand,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise; removal of motion artifacts by averaging 5 consecutive data samples, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
147,Right Hand Vertical Resilient Walk,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise; removal of motion artifacts by averaging 5 consecutive data samples, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
147,Right Hand Vertical Sit,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
147,Right Hand Vertical Stand,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
147,Right Hand Vertical Walk,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
